,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerName,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,isOwnGoal,match_id,match_date,position,playerId,Venue,xThreat,xThreat_gen,event_type,cumulative_mins,index,id,Score,match_string,team_name,shirtNo,is_open_play,is_progressive,is_pass_into_box,won_possession,key_pass,assist,FinalThirdPasses,is_carry_into_box,progressive_carry,pre_assist,distance,angle,switch
0,2.0,0.0,0.0,30,0.0,0.0,0.0,1.0,,Successful,[],[],False,Unknown,,,,,,,,,,,,,1729302,2023-09-30,,,Home,,,Start,0.0,0.0,2597427991.0,2 : 1,Tottenham - Liverpool,Tottenham,,True,False,False,False,False,False,False,,,False,,,False
1,2.0,0.0,0.0,26,0.0,0.0,0.0,1.0,,Successful,[],[],False,Unknown,,,,,,,,,,,,,1729302,2023-09-30,,,Away,,,Start,0.0,1.0,2597427969.0,2 : 1,Tottenham - Liverpool,Liverpool,,True,False,False,False,False,False,False,,,False,,,False
2,3.0,0.0,0.0,26,50.0,50.0,0.0,1.0,,Successful,"[{'Length': '22.5'}, {'Angle': '2.97'}, {'StandingSave': True}, {'Zone': 'Back'}, {'PassEndX': '28.9'}, {'PassEndY': '55.5'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'defensiveThird', 'pos']",True,Dominik Szoboszlai,28.9,55.5,,,,,,,,,,,1729302,2023-09-30,MC,369875.0,Away,-0.004592221846846841,0.0,Pass,0.0,2.0,2597428015.0,2 : 1,Tottenham - Liverpool,Liverpool,8.0,True,False,False,False,False,False,False,,,False,21.805045287731005,2.8866032014192142,False
3,4.0,0.0,3.0,26,30.9,55.7,0.0,1.0,,Unsuccessful,"[{'Longball': True}, {'PassEndX': '79.2'}, {'Angle': '0.54'}, {'StandingSave': True}, {'PassEndY': '100.0'}, {'Length': '59.3'}, {'Zone': 'Left'}, {'Chipped': True}]","['touches', 'passInaccurate', 'passChipped', 'passLongBallInaccurate', 'passForward', 'passLeft', 'finalThird', 'pos']",True,Joël Matip,79.2,100.0,,,,,,,,,,,1729302,2023-09-30,DC,74341.0,Away,,,Pass,0.05,3.0,2597428111.0,2 : 1,Tottenham - Liverpool,Liverpool,32.0,True,False,False,False,False,False,False,,,False,65.53914860600494,0.7422284564885243,False
4,4.0,0.0,21.0,30,21.3,0.0,0.0,1.0,,Successful,"[{'PassEndX': '23.4'}, {'ThrowIn': True}, {'Angle': '1.06'}, {'PassEndY': '4.6'}, {'Length': '4.5'}, {'Zone': 'Back'}]","['touches', 'throwIn', 'passForward', 'passLeft', 'defensiveThird']",True,Pedro Porro,23.4,4.6,,,,,,,,,,,1729302,2023-09-30,DR,362352.0,Home,0.000335003603603605,0.000335003603603605,Pass,0.35,4.0,2597428357.0,2 : 1,Tottenham - Liverpool,Tottenham,23.0,False,False,False,False,False,False,False,,,False,5.056678751908211,1.1425321739182421,False
5,5.0,0.0,22.0,30,23.4,4.6,0.0,1.0,,Successful,"[{'PassEndY': '2.1'}, {'LayOff': True}, {'StandingSave': True}, {'Zone': 'Back'}, {'Angle': '3.44'}, {'Length': '5.8'}, {'PassEndX': '18.1'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passRight', 'defensiveThird', 'pos']",True,Pape Matar Sarr,18.1,2.1,,,,,,,,,,,1729302,2023-09-30,DMC,403859.0,Home,-0.0006253345495495499,0.0,Pass,0.36666666666666664,5.0,2597428363.0,2 : 1,Tottenham - Liverpool,Tottenham,29.0,True,False,False,False,False,False,False,,,False,5.8600341295934415,-2.700841805810371,False
6,6.0,0.0,24.0,30,18.1,2.1,0.0,1.0,,Unsuccessful,"[{'StandingSave': True}, {'Offensive': True}, {'Angle': '6.17'}, {'Length': '3.6'}, {'Zone': 'Back'}, {'PassEndY': '1.5'}, {'OppositeRelatedEvent': '6'}, {'PassEndX': '21.5'}]","['touches', 'passBackZoneInaccurate', 'passInaccurate', 'shortPassInaccurate', 'passForward', 'passRight', 'defensiveThird', 'pos']",True,Pedro Porro,21.5,1.5,,,,,,,,,,,1729302,2023-09-30,DR,362352.0,Home,,,Pass,0.4,6.0,2597428385.0,2 : 1,Tottenham - Liverpool,Tottenham,23.0,True,False,False,False,False,False,False,,,False,3.4525353003264123,-0.1746721990082398,False
7,6.0,0.0,24.0,26,79.7,96.3,0.0,1.0,,Successful,"[{'Zone': 'Left'}, {'StandingSave': True}, {'OppositeRelatedEvent': '6'}, {'Defensive': True}]","['touches', 'outfielderBlockedPass']",True,Curtis Jones,,,,,,,,,,,,,1729302,2023-09-30,MC,355354.0,Away,,,BlockedPass,0.4,7.0,2597428381.0,2 : 1,Tottenham - Liverpool,Liverpool,17.0,True,False,False,False,False,False,False,,,False,,,False
8,8.0,0.0,28.0,30,18.8,0.0,0.0,1.0,,Successful,"[{'Zone': 'Back'}, {'Angle': '1.03'}, {'ThrowIn': True}, {'Length': '6.7'}, {'PassEndY': '7.1'}, {'PassEndX': '22.1'}]","['touches', 'throwIn', 'passForward', 'passLeft', 'defensiveThird']",True,Pedro Porro,22.1,7.1,,,,,,,,,,,1729302,2023-09-30,DR,362352.0,Home,0.00036309659159159194,0.00036309659159159194,Pass,0.4666666666666667,8.0,2597428483.0,2 : 1,Tottenham - Liverpool,Tottenham,23.0,False,False,False,False,False,False,False,,,False,7.829431652425353,1.1357123756328504,False
9,9.0,0.0,30.0,30,22.1,7.1,0.0,1.0,,Successful,"[{'PassEndY': '4.0'}, {'Length': '6.0'}, {'Zone': 'Back'}, {'StandingSave': True}, {'PassEndX': '16.8'}, {'Angle': '3.50'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passRight', 'defensiveThird', 'pos']",True,Yves Bissouma,16.8,4.0,,,,,,,,,,,1729302,2023-09-30,DMC,303096.0,Home,-0.0005198245195195197,0.0,Pass,0.5,9.0,2597428503.0,2 : 1,Tottenham - Liverpool,Tottenham,8.0,True,False,False,False,False,False,False,,,False,6.1400325732035,-2.6123458727579485,False
10,10.0,0.0,31.0,30,16.8,4.0,0.0,1.0,,Successful,"[{'PassEndX': '18.4'}, {'PassEndY': '8.3'}, {'Angle': '1.05'}, {'StandingSave': True}, {'Length': '3.4'}, {'Zone': 'Back'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passLeft', 'defensiveThird', 'pos']",True,Pedro Porro,18.4,8.3,,,,,,,,,,,1729302,2023-09-30,DR,362352.0,Home,0.0002052888470377278,0.0002052888470377278,Pass,0.5166666666666666,10.0,2597428517.0,2 : 1,Tottenham - Liverpool,Tottenham,23.0,True,False,False,False,False,False,False,,,False,4.588027898781784,1.214576671398747,False
11,11.0,0.0,32.0,30,18.4,8.3,0.0,1.0,,Successful,"[{'Length': '4.4'}, {'Angle': '3.37'}, {'Zone': 'Back'}, {'StandingSave': True}, {'PassEndX': '14.3'}, {'PassEndY': '6.8'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passRight', 'defensiveThird', 'pos']",True,Yves Bissouma,14.3,6.8,,,,,,,,,,,1729302,2023-09-30,DMC,303096.0,Home,-0.00040119875694763843,0.0,Pass,0.5333333333333333,11.0,2597428523.0,2 : 1,Tottenham - Liverpool,Tottenham,8.0,True,False,False,False,False,False,False,,,False,4.365775990588613,-2.790864705341589,False
12,12.0,0.0,32.0,30,14.3,6.8,0.0,1.0,,Unsuccessful,"[{'PassEndY': '12.8'}, {'PassEndX': '25.0'}, {'Angle': '0.35'}, {'StandingSave': True}, {'Zone': 'Back'}, {'Length': '12.0'}]","['touches', 'passBackZoneInaccurate', 'passInaccurate', 'shortPassInaccurate', 'passForward', 'passLeft', 'defensiveThird', 'pos']",True,Pedro Porro,25.0,12.8,,,,,,,,,,,1729302,2023-09-30,DR,362352.0,Home,,,Pass,0.5333333333333333,12.0,2597428547.0,2 : 1,Tottenham - Liverpool,Tottenham,23.0,True,False,False,False,False,False,False,,,False,12.267436570041845,0.5110573118980467,False
13,8.0,0.0,34.0,26,73.7,86.3,0.0,1.0,,Successful,[],['ballRecovery'],False,Curtis Jones,,,,,,,,,,,,,1729302,2023-09-30,MC,355354.0,Away,,,BallRecovery,0.5666666666666667,13.0,2597428581.0,2 : 1,Tottenham - Liverpool,Liverpool,17.0,True,False,False,True,False,False,False,,,False,,,False
14,9.0,0.0,34.0,26,73.7,86.3,0.0,1.0,,Successful,"[{'Zone': 'Left'}, {'PassEndY': '92.3'}, {'Length': '4.3'}, {'Angle': '1.27'}, {'PassEndX': '74.9'}, {'StandingSave': True}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'successfulFinalThirdPasses', 'passForward', 'passLeft', 'finalThird', 'pos']",True,Curtis Jones,74.9,92.3,,,,,,,,,,,1729302,2023-09-30,MC,355354.0,Away,0.0009034976374121886,0.0009034976374121886,Pass,0.5666666666666667,14.0,2597428595.0,2 : 1,Tottenham - Liverpool,Liverpool,17.0,True,False,False,False,False,False,True,,,False,6.118823416311343,1.3734007669450154,False
15,10.0,0.0,35.0,26,74.8,92.3,0.0,1.0,,Successful,"[{'PassEndY': '87.2'}, {'StandingSave': True}, {'Zone': 'Left'}, {'Length': '6.1'}, {'Angle': '3.74'}, {'PassEndX': '70.0'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'successfulFinalThirdPasses', 'passBack', 'passRight', 'finalThird', 'pos']",True,Luis Díaz,70.0,87.2,,,,,,,,,,,1729302,2023-09-30,FWL,377168.0,Away,-0.0030846973900251623,0.0,Pass,0.5833333333333334,15.0,2597428607.0,2 : 1,Tottenham - Liverpool,Liverpool,7.0,True,False,False,False,False,False,True,,,False,7.003570517957245,-2.32590073027357,False
